# Tm,Pos,Player,Age,Tm,Pts Won,Pts Max,Share,1st Tm,2nd Tm,3rd Tm,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,PER,BPM,VORP,WIN,PIE
1st,G,James Harden,29,HOU,500,500,1,100,0,0,78,36.8,36.1,6.6,7.5,2,0.7,0.442,0.368,0.879,15.2,0.254,30.6,11,9.3,0.646,20.1
1st,G,Stephen Curry,30,GSW,482,500,0.964,91,9,0,69,33.8,27.3,5.3,5.2,1.3,0.4,0.472,0.437,0.916,9.7,0.199,24.4,6.6,5.1,0.695,15.2
1st,F,Paul George,28,OKC,433,500,0.866,71,25,3,77,36.9,28,8.2,4.1,2.2,0.4,0.438,0.386,0.839,11.9,0.201,23.3,7.2,6.6,0.598,16.1
1st,C,Nikola Joki?,23,DEN,411,500,0.822,59,38,2,80,31.3,20.1,10.8,7.3,1.4,0.7,0.511,0.307,0.821,11.8,0.226,26.3,9.1,7,0.659,18.8
2nd,C,Joel Embiid,24,PHI,375,500,0.75,40,57,4,64,33.7,27.5,13.6,3.7,0.7,1.9,0.484,0.3,0.804,8.7,0.194,26.1,4.9,3.8,0.622,19.6
2nd,F,Kevin Durant,30,GSW,358,500,0.716,29,71,0,78,34.6,26,6.4,5.9,0.7,1.1,0.521,0.353,0.885,11.5,0.204,24.2,5.5,5.1,0.695,16.2
2nd,G,Damian Lillard,28,POR,306,500,0.612,8,87,5,80,35.5,25.8,4.6,6.9,1.1,0.4,0.444,0.369,0.912,12.1,0.205,23.7,6.4,6,0.646,15.5
2nd,F,Kawhi Leonard,27,TOR,242,500,0.484,0,73,23,60,34,26.6,7.3,3.3,1.8,0.4,0.496,0.371,0.854,9.5,0.224,25.8,7.2,4.7,0.707,17.2
2nd,G,Kyrie Irving,26,BOS,195,500,0.39,0,52,39,67,33,23.8,5,6.9,1.5,0.5,0.487,0.401,0.873,9.1,0.197,24.3,7.2,5.1,0.598,15.7
3rd,G,Russell Westbrook,30,OKC,178,500,0.356,1,43,44,73,36,22.9,11.1,10.7,1.9,0.5,0.428,0.29,0.656,6.8,0.124,21.1,5.2,4.7,0.598,16.4
3rd,F,Blake Griffin,29,DET,115,500,0.23,0,13,76,75,35,24.5,7.5,5.4,0.7,0.4,0.462,0.362,0.753,8,0.147,21,5.1,4.7,0.5,15.3
3rd,F,LeBron James,34,LAL,111,500,0.222,0,13,72,55,35.2,27.4,8.5,8.3,1.3,0.6,0.51,0.339,0.665,7.2,0.179,25.6,8,4.9,0.451,18.8
3rd,C,Rudy Gobert,26,UTA,89,500,0.178,1,5,69,81,31.8,15.9,12.9,2,0.8,2.3,0.669,,0.636,14.4,0.268,24.6,5.4,4.8,0.61,17
3rd,G,Kemba Walker,28,CHO,51,500,0.102,0,4,39,82,34.9,25.6,4.4,5.9,1.2,0.4,0.434,0.356,0.844,7.4,0.123,21.7,4.2,4.4,0.476,14
1st,G,James Harden,28,HOU,500,500,1,100,0,0,72,35.4,30.4,5.4,8.8,1.8,0.7,0.449,0.367,0.858,15.4,0.289,29.8,9.9,7.7,0.793,19.4
1st,F,LeBron James,33,CLE,500,500,1,100,0,0,82,36.9,27.5,8.6,9.1,1.4,0.9,0.542,0.367,0.731,14,0.221,28.6,8.7,8.2,0.61,19.1
1st,C,Anthony Davis,24,NOP,492,500,0.984,96,4,0,75,36.4,28.1,11.1,2.3,1.5,2.6,0.534,0.34,0.828,13.7,0.241,28.9,6.7,5.9,0.585,18.8
1st,G,Damian Lillard,27,POR,432,500,0.864,71,24,5,73,36.6,26.9,4.5,6.6,1.1,0.4,0.439,0.361,0.916,12.6,0.227,25.2,7.2,6.3,0.598,16.5
1st,F,Kevin Durant,29,GSW,426,500,0.852,63,37,0,68,34.2,26.4,6.8,5.4,0.7,1.8,0.516,0.419,0.889,10.4,0.215,26,7.3,5.5,0.707,16.8
2nd,F,Giannis Antetokounmpo,23,MIL,354,500,0.708,28,71,1,75,36.7,26.9,10,4.8,1.5,1.4,0.529,0.307,0.76,11.9,0.207,27.3,6.2,5.7,0.537,18.6
2nd,G,Russell Westbrook,29,OKC,322,500,0.644,24,63,13,80,36.4,25.4,10.1,10.3,1.8,0.3,0.449,0.298,0.737,10.1,0.166,24.7,6.3,6.1,0.585,18.6
2nd,C,Joel Embiid,23,PHI,294,500,0.588,11,78,5,63,30.3,22.9,11,3.2,0.6,1.8,0.483,0.308,0.769,6.2,0.155,22.9,3.3,2.6,0.634,17.7
2nd,F,LaMarcus Aldridge,32,SAS,236,500,0.472,2,68,22,75,33.5,23.1,8.5,2,0.6,1.2,0.51,0.293,0.837,10.9,0.209,25,3.9,3.7,0.573,15.9
2nd,G,DeMar DeRozan,28,TOR,165,500,0.33,2,39,38,80,33.9,23,3.9,5.2,1.1,0.3,0.456,0.31,0.825,9.6,0.17,21,2.8,3.2,0.72,13.5
3rd,G,Stephen Curry,29,GSW,164,500,0.328,2,39,37,51,32,26.4,5.1,6.1,1.6,0.2,0.495,0.423,0.921,9.1,0.267,28.2,7.7,4,0.707,16.5
3rd,G,Victor Oladipo,25,IND,105,500,0.21,0,24,33,75,34,23.1,5.2,4.3,2.4,0.8,0.477,0.371,0.799,8.2,0.155,23.1,5.8,5,0.585,14.8
3rd,C,Karl-Anthony Towns,22,MIN,99,500,0.198,0,18,45,82,35.6,21.3,12.3,2.4,0.8,1.4,0.545,0.421,0.858,14,0.23,24.9,5.1,5.2,0.573,16.5
3rd,F,Jimmy Butler,28,MIN,81,500,0.162,1,8,52,59,36.7,22.2,5.3,4.9,2,0.4,0.474,0.35,0.854,8.9,0.198,23.7,5.8,4.2,0.573,15.1
3rd,F,Paul George,27,OKC,54,500,0.108,0,4,42,79,36.6,21.9,5.7,3.3,2,0.5,0.43,0.401,0.822,8.9,0.147,18.7,2.9,3.6,0.585,12
1st,G,James Harden,27,HOU,500,500,1,100,0,0,81,36.4,29.1,8.1,11.2,1.5,0.5,0.44,0.347,0.847,15,0.245,27.4,8.7,8,0.671,19
1st,F,LeBron James,32,CLE,498,500,0.996,99,1,0,74,37.8,26.4,8.6,8.7,1.2,0.6,0.548,0.363,0.674,12.9,0.221,27,7.6,6.7,0.622,18.3
1st,G,Russell Westbrook,28,OKC,498,500,0.996,99,1,0,81,34.6,31.6,10.7,10.4,1.6,0.4,0.425,0.343,0.845,13.1,0.224,30.6,11.1,9.3,0.573,23
1st,F,Kawhi Leonard,25,SAS,490,500,0.98,96,3,1,74,33.4,25.5,5.8,3.5,1.8,0.7,0.485,0.38,0.88,13.6,0.264,27.6,9.4,7.1,0.744,17.4
1st,C,Anthony Davis,23,NOP,343,500,0.686,45,34,16,75,36.1,28,11.8,2.1,1.3,2.2,0.505,0.299,0.802,11,0.195,27.5,5.9,5.4,0.415,19.2
2nd,C,Rudy Gobert,24,UTA,339,500,0.678,43,38,10,81,33.9,14,12.8,1.2,0.6,2.6,0.661,0,0.653,14.3,0.25,23.3,4.4,4.4,0.622,16.1
2nd,G,Stephen Curry,28,GSW,290,500,0.58,1,93,6,79,33.4,25.3,4.5,6.6,1.8,0.2,0.468,0.411,0.898,12.6,0.229,24.6,6.9,5.9,0.817,15.1
2nd,F,Giannis Antetokounmpo,22,MIL,258,500,0.516,0,81,15,80,35.6,22.9,8.8,5.4,1.6,1.9,0.521,0.272,0.77,12.4,0.21,26.1,7.3,6.7,0.512,17.6
2nd,F,Kevin Durant,28,GSW,239,500,0.478,3,66,26,62,33.4,25.1,8.3,4.8,1.1,1.6,0.537,0.375,0.875,12,0.278,27.6,8.9,5.7,0.817,18.6
2nd,G,Isaiah Thomas,27,BOS,236,500,0.472,0,71,23,76,33.8,28.9,2.7,5.9,0.9,0.2,0.463,0.379,0.909,12.5,0.234,26.5,6.7,5.6,0.646,16.1
3rd,F,Draymond Green,26,GSW,134,500,0.268,4,21,51,76,32.5,10.2,7.9,7,2,1.4,0.418,0.308,0.709,8.2,0.16,16.5,4.9,4.3,0.817,11.7
3rd,G,John Wall,26,WAS,125,500,0.25,0,19,68,78,36.4,23.1,4.2,10.7,2,0.6,0.451,0.327,0.801,8.8,0.149,23.2,4.7,4.8,0.598,15.3
3rd,F,Jimmy Butler,27,CHI,102,500,0.204,0,19,45,76,37,23.9,6.2,5.5,1.9,0.4,0.455,0.367,0.865,13.8,0.236,25.1,7.3,6.6,0.5,16.4
3rd,G,DeMar DeRozan,27,TOR,62,500,0.124,0,4,50,74,35.4,27.3,5.2,3.9,1.1,0.2,0.467,0.266,0.842,9,0.166,24,3,3.3,0.622,15.5
3rd,C,DeAndre Jordan,28,LAC,54,500,0.108,3,7,18,81,31.7,12.7,13.8,1.2,0.6,1.7,0.714,0,0.482,11.8,0.221,21.8,3.3,3.5,0.622,15
1st,G,Stephen Curry,27,GSW,645,645,1,129,0,0,79,34.2,30.1,5.4,6.7,2.1,0.2,0.504,0.454,0.908,17.9,0.318,31.5,11.9,9.5,0.89,19.7
1st,F,LeBron James,31,CLE,637,645,0.988,125,4,0,76,35.6,25.3,7.4,6.8,1.4,0.6,0.52,0.309,0.731,13.6,0.242,27.5,9,7.5,0.695,18.9
1st,G,Russell Westbrook,27,OKC,627,645,0.972,120,9,0,80,34.4,23.5,7.8,10.4,2,0.3,0.454,0.296,0.812,14,0.245,27.6,7.8,6.8,0.671,18.8
1st,F,Kawhi Leonard,24,SAS,575,645,0.891,94,35,0,72,33.1,21.2,6.8,2.6,1.8,1,0.506,0.443,0.874,13.7,0.277,26,9.1,6.7,0.817,17
1st,C,DeAndre Jordan,27,LAC,317,645,0.491,39,36,14,77,33.7,12.7,13.8,1.2,0.7,2.3,0.703,0,0.43,11.5,0.213,20.6,2.8,3.2,0.646,14.1
2nd,F,Kevin Durant,27,OKC,452,645,0.701,36,90,2,72,35.8,28.2,8.2,5,1,1.2,0.505,0.387,0.898,14.5,0.27,28.2,9.9,7.8,0.671,19.4
2nd,F,Draymond Green,25,GSW,431,645,0.668,40,74,9,81,34.7,14,9.5,7.4,1.5,1.4,0.49,0.388,0.696,11.1,0.19,19.3,5.5,5.3,0.89,13.6
2nd,G,Chris Paul,30,LAC,353,645,0.547,8,101,10,74,32.7,19.5,4.2,10,2.1,0.2,0.462,0.371,0.896,12.7,0.253,26.2,7.9,6,0.646,18.4
2nd,C,DeMarcus Cousins,25,SAC,277,645,0.429,32,28,33,65,34.6,26.9,11.5,3.3,1.6,1.4,0.451,0.333,0.718,5.7,0.122,23.6,3.3,3,0.402,15.6
2nd,G,Damian Lillard,25,POR,217,645,0.336,0,48,73,75,35.7,25.1,4,6.8,0.9,0.4,0.419,0.375,0.892,9.2,0.165,22.2,4.4,4.3,0.537,14.3
3rd,C,Andre Drummond,22,DET,173,645,0.268,13,26,30,81,32.9,16.2,14.8,0.8,1.5,1.4,0.521,0.333,0.355,7.4,0.133,21.2,1.1,2,0.537,14
3rd,G,Klay Thompson,25,GSW,164,645,0.254,0,37,53,80,33.3,22.1,3.8,2.1,0.8,0.6,0.47,0.425,0.873,8,0.144,18.6,1.8,2.5,0.89,11.4
3rd,F,Paul George,25,IND,157,645,0.243,0,28,73,81,34.8,23.1,7,4.1,1.9,0.4,0.418,0.371,0.86,9.2,0.157,20.9,4.9,4.9,0.549,15.1
3rd,G,Kyle Lowry,29,TOR,155,645,0.24,0,35,50,77,37,21.2,4.7,6.4,2.1,0.4,0.427,0.388,0.811,11.6,0.196,22.2,5.8,5.7,0.683,14.5
3rd,F,LaMarcus Aldridge,30,SAS,103,645,0.16,3,11,55,74,30.6,18,8.5,1.5,0.5,1.1,0.513,0,0.858,10.1,0.2,22.4,2.3,2.5,0.817,15.1
1st,G,Stephen Curry,26,GSW,645,645,1,129,0,0,80,32.7,23.8,4.3,7.7,2,0.2,0.487,0.443,0.914,15.7,0.288,28,9.9,7.9,0.817,17.8
1st,F,LeBron James,30,CLE,645,645,1,129,0,0,69,36.1,25.3,6,7.4,1.6,0.7,0.488,0.354,0.71,10.4,0.199,25.9,7.1,5.7,0.646,17.1
1st,G,James Harden,25,HOU,637,645,0.988,125,4,0,81,36.8,27.4,5.7,7,1.9,0.7,0.44,0.375,0.868,16.4,0.265,26.7,8.8,8.1,0.683,18.4
1st,F,Anthony Davis,21,NOP,625,645,0.969,119,10,0,68,36.1,24.4,10.2,2.2,1.5,2.9,0.535,0.083,0.805,14,0.274,30.8,8.9,6.7,0.549,19.2
1st,C,Marc Gasol,30,MEM,453,645,0.702,65,39,11,81,33.2,17.4,7.8,3.8,0.9,1.6,0.494,0.176,0.795,10.2,0.182,21.7,5.1,4.8,0.671,15.1
2nd,G,Russell Westbrook,26,OKC,397,645,0.616,10,114,5,67,34.4,28.1,7.3,8.6,2.1,0.2,0.426,0.299,0.835,10.6,0.222,29.1,8.1,5.8,0.549,18.7
2nd,F,LaMarcus Aldridge,29,POR,390,645,0.605,13,104,12,71,35.4,23.4,10.2,1.7,0.7,1,0.466,0.352,0.845,8.6,0.165,22.8,2.9,3.1,0.622,15.6
2nd,G,Chris Paul,29,LAC,335,645,0.519,1,105,15,82,34.8,19.1,4.6,10.2,1.9,0.2,0.485,0.398,0.9,16.1,0.27,26,8,7.2,0.683,17.3
2nd,F,Pau Gasol,34,CHI,242,645,0.375,15,41,44,78,34.4,18.5,11.8,2.7,0.3,1.9,0.494,0.462,0.803,10.4,0.187,22.7,3.5,3.7,0.61,16.9
2nd,C,DeMarcus Cousins,24,SAC,220,645,0.341,18,30,40,59,34.1,24.1,12.7,3.6,1.5,1.7,0.467,0.25,0.782,6,0.144,25.2,4.3,3.2,0.354,18
3rd,F,Blake Griffin,25,LAC,189,645,0.293,2,42,53,67,35.2,21.9,7.6,5.3,0.9,0.5,0.502,0.4,0.728,9,0.183,22.8,4,3.6,0.683,14.6
3rd,C,DeAndre Jordan,26,LAC,175,645,0.271,12,26,37,82,34.4,11.5,15,0.7,1,2.2,0.71,0.25,0.397,12.8,0.217,21,2.9,3.5,0.683,13.2
3rd,F,Tim Duncan,38,SAS,167,645,0.259,6,32,41,77,28.9,13.9,9.1,3,0.8,2,0.512,0.286,0.74,9.6,0.207,21,2.9,3.5,0.671,15.6
3rd,G,Klay Thompson,24,GSW,122,645,0.189,0,15,77,77,31.9,21.7,3.2,2.9,1.1,0.8,0.463,0.439,0.879,8.8,0.172,20.8,4.4,4,0.817,12.6
3rd,G,Kyrie Irving,22,CLE,112,645,0.174,0,14,70,75,36.4,21.7,3.2,5.2,1.5,0.3,0.468,0.415,0.863,10.4,0.183,21.5,4.1,4.2,0.646,12.8
